pattern,batch-size,algo,bs_position,precision,device_name,median,nruns,ecs
"[[1, 48, 192, 128]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,10470.0,2.0,
"[[1, 48, 192, 128]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,13646.0,4.0,
"[[1, 48, 192, 128]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,23952.0,2.0,
"[[1, 48, 192, 128]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,8296.5,2.0,
"[[1, 48, 192, 128]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,295118.5,2.0,
"[[1, 48, 192, 128]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,283487.5,2.0,
"[[1, 64, 64, 1]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,5868.5,512.0,
"[[1, 64, 64, 1]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,5105.5,512.0,
"[[1, 64, 64, 1]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,6268.5,512.0,
"[[1, 64, 64, 1]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,6000.5,512.0,
"[[1, 64, 64, 1]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,5789.0,512.0,
"[[1, 64, 64, 1]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5486.0,512.0,
"[[1, 64, 64, 1]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,10196.0,1024.0,
"[[1, 64, 64, 1]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,9102.5,1024.0,
"[[1, 64, 64, 2]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,6378.5,256.0,
"[[1, 64, 64, 2]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,9348.0,512.0,
